"Id";"UserId";"ExternalId";"InvoiceUri";"LevelName";"SessionId";"IsPaymentSuccess";"CompletionDate";"CreateDate"
"90a24974-f483-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"yDzlFKLeLmZ7apj1";"NONE";"guest";"NONE";"1";"2024-04-07 02:07:19";"2024-04-07 02:07:19"
"94b583fc-f482-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"HWrlOXCS4YHmMAus";"NONE";"guest";"NONE";"1";"2024-04-07 02:00:17";"2024-04-07 02:00:17"
"962d368b-6b87-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"EG54KRGI3NGQQcLc";"NONE";"guest";"NONE";"1";"2024-09-05 13:05:55";"2024-09-05 13:05:55"
"97064864-546b-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"aayYLlNKbsaf0HpG";"http://api.legallead.co/subscription-checkout?sessionid=sub_1Pl0NVDhgP60CL9xIPqcffwH&id=aayYLlNKbsaf0HpG";"gold";"sub_1Pl0NVDhgP60CL9xIPqcffwH";"0";"";"2024-08-07 03:17:34"
"972b7865-0c0c-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"bxD4IoNwAIHyAbow";"NONE";"guest";"NONE";"1";"2024-05-07 00:56:08";"2024-05-07 00:56:08"
"97f8c1a6-1d66-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"WBWil3HoYjrOIOs0";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLcdYDhgP60CL9xzCMHOrAi&id=WBWil3HoYjrOIOs0";"gold";"sub_1PLcdYDhgP60CL9xzCMHOrAi";"0";"";"2024-05-29 02:53:14"
"98122bff-0bb7-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"OqsZ0I5JpdK6z76u";"NONE";"guest";"NONE";"1";"2024-05-06 14:47:43";"2024-05-06 14:47:43"
"98689152-1d58-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"xB0gcrB7Y6GE3Kjo";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLb4aDhgP60CL9xOLKpelo6&id=xB0gcrB7Y6GE3Kjo";"gold";"sub_1PLb4aDhgP60CL9xOLKpelo6";"0";"";"2024-05-29 01:13:02"
"9b505e5c-2210-11ef-99ce-0af7a01f52e9";"bcb2aebb-60ab-4eb2-aba9-11618ea8b3ea";"CRe12YO5BqyWbRcb";"https://localhost:44345/subscription-checkout?sessionid=sub_1PNm2vDhgP60CL9xufjBrPsO&id=CRe12YO5BqyWbRcb";"silver";"sub_1PNm2vDhgP60CL9xufjBrPsO";"0";"";"2024-06-04 01:20:19"
"9b997645-5fc7-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"FHovRnq0j4X3FesV";"NONE";"guest";"NONE";"1";"2024-08-21 14:13:58";"2024-08-21 14:13:58"
